entities||descriptions
Hope || A feeling of expectation and desire for a certain thing to happen, often accompanied by optimism.
Hesitation || The action of pausing before saying or doing something, often due to uncertainty or doubt.
Happiness || A feeling of joy, pleasure, or contentment. It often occurs when one feels satisfied or fulfilled.
Guilt || A feeling of responsibility or remorse for some offense, crime, wrong, etc., whether real or imagined.
Grief || Deep sorrow, especially caused by someone's death, involving a complex set of emotional responses to loss.
Gratitude || A feeling of thankfulness and appreciation, often for acts of kindness or benefits received.
Gleefulness || Joyful or merry delight, often expressed in a lively and enthusiastic manner.
Frustration || A feeling of dissatisfaction, often accompanied by anxiety or depression, resulting from unfulfilled needs or unresolved problems.
"Foreboding || A feeling that something bad will happen; fearful apprehension."
Fear || An emotion experienced in anticipation of some specific pain or danger, usually accompanied by a desire to flee or fight.
Fatigue || Extreme tiredness resulting from mental or physical exertion or illness.
"Exuberance || The quality of being full of energy, excitement, and cheerfulness; ebullience."
Exasperation || A feeling of intense irritation or annoyance, usually resulting from prolonged, unresolved frustrations.
Euphoria || An intense state of joy and happiness, often feeling like a high, usually experienced in extremely positive situations.
Envy || A feeling of discontented or resentful longing aroused by someone else's possessions, qualities, or luck.
Enthusiasm || Intense and eager enjoyment, interest, or approval, often inspiring energetic engagement in activities or ideas.
Empathy || The ability to understand and share the feelings of another, often leading to emotional connection and compassion.
Embarrassment || A feeling of self-consciousness, shame, or awkwardness, especially in a social context.
Elation || Great happiness and exhilaration, often resulting from success or a very positive experience.
Eagerness || A keen and enthusiastic desire or interest, often to do something or for something to happen.
Disgust || A feeling of strong aversion or repulsion, often in response to something perceived as unpleasant or offensive.
Disdain || A feeling of contempt or scorn for someone or something considered unworthy or inferior.
Disappointment || The feeling of sadness or displeasure caused by the non-fulfillment of one's hopes or expectations.
Determination || A strong resolve or firmness of purpose, often in the pursuit of goals or objectives.
Despair || The complete loss or absence of hope, often felt during profoundly negative or hopeless situations.
Defeat || A feeling of loss and disappointment, typically after losing a battle or failing to achieve something desired.
Curiosity || A desire to learn or know about something, often leading to exploration and discovery.
Contentment || A state of happiness and satisfaction, often involving a peaceful ease of mind.
Contempt || A feeling of disdain or scorn for someone or something deemed inferior, unworthy, or deserving of disrespect.
Confusion || A state of being bewildered or unclear in one? mind about something, often leading to indecision.
Compassion || A feeling of deep sympathy and sorrow for another who is stricken by misfortune, accompanied by a strong desire to alleviate the suffering.
Camaraderie || A feeling of good friendship and trust among members of a group, often experienced in teams or close-knit communities.
Boredom || A state of feeling disinterested or unengaged in one's surroundings or activities, often leading to a sense of lethargy or restlessness.
Bewilderment || A state of being confused or puzzled, often caused by a complex or unexpected situation.
Behavioral Activation||Behavioral Activation is a method for a psychical therapy by: Taking part in psychologically beneficial activities, keeping away from psychologically harmful activities, and solving mechanisms problems that hinder access to rewards or enhance negative control.
Awe || A feeling of reverential respect mixed with fear or wonder, often inspired by something majestic or extremely powerful.
Apprehension || Anxiety or fear that something bad or unpleasant will happen.
Anxiety || A feeling of worry, nervousness, or unease about something with an uncertain outcome.
Anticipation || A feeling of excitement about something that is going to happen in the near future.
Anger || A strong feeling of displeasure or hostility, often resulting from frustration or feeling wronged.
Amusement || The feeling of being entertained or finding something humorously engaging.
Admiration || A feeling of wonder, pleasure, or approval towards someone or something deemed impressive or excellent.
BA Introduction|| Explain BA understandably at first and chatbot makes a self-introduction
Activity Recommendation|| Find activities that user likes and encourage the user to take part in them
add future schedule || add an unfinished activity
add finished schedule || add an unfinished activity
update schedule || update an activity
delete schedule || delete an activity
